2025-09-22 19:52:18.6|Info|Bootstrap|Starting Radarr - /app/radarr/bin/Radarr - Version 5.27.5.10198
2025-09-22 19:52:19.0|Info|AppFolderInfo|Data directory is being overridden to [/config]
2025-09-22 19:52:19.5|Info|AppFolderInfo|Data directory is being overridden to [/config]
2025-09-22 19:52:21.5|Info|AppFolderInfo|Data directory is being overridden to [/config]
2025-09-22 19:52:23.7|Warn|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|No XML encryptor configured. Key {d957192d-f37b-43ff-9522-ef3f6a0fe007} may be persisted to storage in unencrypted form.
2025-09-22 19:52:25.1|Info|MigrationController|*** Migrating data source=/config/radarr.db;cache size=-20000;datetimekind=Utc;journal mode=Wal;pooling=True;version=3;busytimeout=100 ***
2025-09-22 19:52:25.6|Info|FluentMigrator.Runner.MigrationRunner|DatabaseEngineVersionCheck migrating
2025-09-22 19:52:25.6|Info|FluentMigrator.Runner.MigrationRunner|PerformDBOperation 
2025-09-22 19:52:25.6|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Performing DB Operation
2025-09-22 19:52:25.8|Info|DatabaseEngineVersionCheck|SQLite 3.49.2
2025-09-22 19:52:25.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.1315057s
2025-09-22 19:52:25.8|Info|FluentMigrator.Runner.MigrationRunner|DatabaseEngineVersionCheck migrated
2025-09-22 19:52:25.8|Info|FluentMigrator.Runner.MigrationRunner|=> 0.1413651s
2025-09-22 19:52:25.8|Info|FluentMigrator.Runner.MigrationRunner|VersionMigration migrating
2025-09-22 19:52:25.8|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-09-22 19:52:25.9|Info|FluentMigrator.Runner.MigrationRunner|CreateTable VersionInfo
2025-09-22 19:52:25.9|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE TABLE "VersionInfo" ("Version" INTEGER NOT NULL)
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0853357s
2025-09-22 19:52:26.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|VersionMigration migrated
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0932438s
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|VersionUniqueMigration migrating
2025-09-22 19:52:26.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|CreateIndex VersionInfo (Version)
2025-09-22 19:52:26.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|CREATE UNIQUE INDEX "UC_Version" ON "VersionInfo" ("Version" ASC)
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0061429s
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|AlterTable VersionInfo
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0001898s
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|CreateColumn VersionInfo AppliedOn DateTime
2025-09-22 19:52:26.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|ALTER TABLE "VersionInfo" ADD COLUMN "AppliedOn" DATETIME
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0047769s
2025-09-22 19:52:26.0|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|VersionUniqueMigration migrated
2025-09-22 19:52:26.0|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0113446s
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|VersionDescriptionMigration migrating
2025-09-22 19:52:26.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|AlterTable VersionInfo
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|=> 2.9E-05s
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|CreateColumn VersionInfo Description String
2025-09-22 19:52:26.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|ALTER TABLE "VersionInfo" ADD COLUMN "Description" TEXT
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0017742s
2025-09-22 19:52:26.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Committing Transaction
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|VersionDescriptionMigration migrated
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|=> 0.0080405s
2025-09-22 19:52:26.1|Info|FluentMigrator.Runner.MigrationRunner|1: InitialSetup migrating
2025-09-22 19:52:26.1|Info|NzbDrone.Core.Datastore.Migration.Framework.NzbDroneSQLiteProcessor|Beginning Transaction
2025-09-22 19:52:26.1|Info|InitialSetup|Starting migration of Main DB to 1
2025-09-22 19:52:26.2|Info|FluentMigrator.Runner.MigrationRunner|CreateTable Config
